Transaction_transaction_id,CreditCard_cc_num,timestamp
55,cc_17,2020-08-03T01:00:00Z
88,cc_32,2020-05-14T01:00:00Z
82,cc_32,2020-11-25T01:00:00Z
49,cc_32,2020-02-14T01:00:00Z
10,cc_17,2020-11-07T01:00:00Z
83,cc_17,2020-12-12T01:00:00Z
33,cc_17,2020-10-05T01:00:00Z
63,cc_32,2020-04-26T01:00:00Z
60,cc_17,2020-01-20T01:00:00Z
67,cc_17,2020-08-06T01:00:00Z
79,cc_32,2020-08-05T01:00:00Z
16,cc_17,2020-05-17T01:00:00Z
42,cc_17,2020-07-09T01:00:00Z
50,cc_17,2020-03-16T01:00:00Z
95,cc_17,2020-12-11T01:00:00Z
28,cc_17,2020-05-03T01:00:00Z
80,cc_32,2020-09-11T01:00:00Z
72,cc_32,2020-01-16T01:00:00Z
13,cc_32,2020-02-05T01:00:00Z
30,cc_32,2020-07-11T01:00:00Z
99,cc_32,2020-04-27T01:00:00Z
11,cc_17,2020-12-21T01:00:00Z
1,cc_17,2020-02-17T01:00:00Z
23,cc_17,2020-12-02T01:00:00Z
53,cc_17,2020-06-05T01:00:00Z
91,cc_32,2020-08-02T01:00:00Z
5,cc_32,2020-06-15T01:00:00Z
19,cc_32,2020-08-26T01:00:00Z
52,cc_32,2020-05-26T01:00:00Z
0,cc_17,2020-01-23T01:00:00Z
61,cc_17,2020-02-28T01:00:00Z
46,cc_32,2020-11-18T01:00:00Z
73,cc_17,2020-02-18T01:00:00Z
43,cc_17,2020-08-12T01:00:00Z
8,cc_32,2020-09-18T01:00:00Z
2,cc_17,2020-03-04T01:00:00Z
45,cc_17,2020-10-17T01:00:00Z
51,cc_32,2020-04-16T01:00:00Z
47,cc_17,2020-12-05T01:00:00Z
84,cc_32,2020-01-28T01:00:00Z
94,cc_32,2020-11-12T01:00:00Z
74,cc_32,2020-03-02T01:00:00Z
4,cc_32,2020-05-05T01:00:00Z
18,cc_32,2020-07-04T01:00:00Z
44,cc_32,2020-09-15T01:00:00Z
96,cc_32,2020-01-19T01:00:00Z
69,cc_32,2020-10-04T01:00:00Z
15,cc_32,2020-04-20T01:00:00Z
22,cc_17,2020-11-16T01:00:00Z
98,cc_32,2020-03-17T01:00:00Z
54,cc_32,2020-07-10T01:00:00Z
75,cc_32,2020-04-24T01:00:00Z
58,cc_17,2020-11-05T01:00:00Z
86,cc_17,2020-03-18T01:00:00Z
89,cc_32,2020-06-01T01:00:00Z
78,cc_32,2020-07-02T01:00:00Z
7,cc_32,2020-08-10T01:00:00Z
38,cc_17,2020-03-27T01:00:00Z
85,cc_32,2020-02-20T01:00:00Z
27,cc_32,2020-04-27T01:00:00Z
81,cc_32,2020-10-03T01:00:00Z
36,cc_32,2020-01-24T01:00:00Z
40,cc_32,2020-05-17T01:00:00Z
59,cc_32,2020-12-11T01:00:00Z
68,cc_32,2020-09-28T01:00:00Z
64,cc_17,2020-05-28T01:00:00Z
37,cc_32,2020-02-02T01:00:00Z
14,cc_17,2020-03-20T01:00:00Z
76,cc_32,2020-05-20T01:00:00Z
9,cc_17,2020-10-24T01:00:00Z
93,cc_32,2020-10-21T01:00:00Z
20,cc_17,2020-09-07T01:00:00Z
35,cc_17,2020-12-18T01:00:00Z
56,cc_17,2020-09-11T01:00:00Z
26,cc_32,2020-03-16T01:00:00Z
21,cc_17,2020-10-13T01:00:00Z
17,cc_32,2020-06-05T01:00:00Z
31,cc_17,2020-08-19T01:00:00Z
48,cc_32,2020-01-05T01:00:00Z
92,cc_32,2020-09-21T01:00:00Z
62,cc_17,2020-03-03T01:00:00Z
24,cc_32,2020-01-10T01:00:00Z
29,cc_17,2020-06-06T01:00:00Z
97,cc_32,2020-02-25T01:00:00Z
32,cc_17,2020-09-24T01:00:00Z
41,cc_32,2020-06-25T01:00:00Z
65,cc_32,2020-06-06T01:00:00Z
70,cc_17,2020-11-07T01:00:00Z
12,cc_32,2020-01-03T01:00:00Z
90,cc_32,2020-07-03T01:00:00Z
77,cc_17,2020-06-14T01:00:00Z
3,cc_32,2020-04-12T01:00:00Z
34,cc_17,2020-11-14T01:00:00Z
87,cc_17,2020-04-24T01:00:00Z
57,cc_17,2020-10-08T01:00:00Z
39,cc_32,2020-04-19T01:00:00Z
6,cc_32,2020-07-14T01:00:00Z
71,cc_32,2020-12-09T01:00:00Z
25,cc_32,2020-02-19T01:00:00Z
66,cc_32,2020-07-01T01:00:00Z
